UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad de Valladolid",Facultad de Medicina,"Grado en Ingeniería Biomédica",Pública / Propio,40,"11,699","12,37",,240,"21,01 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Diseño y Gestión de Moda",Pública / Propio,25,"11,684","12,03",94 %,240,"21,39 €" 
"Universidad de La Laguna","Escuela Universitaria de Enfermería Ntra. Sra. de la Candelaria",Grado en Enfermería,Pública / Adscrito,60,"11,682","12,27",95 %,240, 
Universidad de Alicante,"Facultad de Filosofía y Letras","Grado en Traducción e Interpretación",Pública / Propio,180,"11,68","10,51",90 %,240,"14,96 €" 
"Universidad Complutense de Madrid","Facultad de Enfermería, Fisioterapia y Podología",Grado en Fisioterapia,Pública / Propio,70,"11,654","11,92",92 %,240,"26,14 €" 
Universidad de Alcalá,Facultad de Ciencias,"Grado en Criminalística: Ciencias y Tecnologías Forenses",Pública / Propio,60,"11,65","11,92",92 %,240,"26,14 €" 
Universidad de Sevilla,"Facultad de Enfermería, Fisioterapia y Podología",Grado en Enfermería,Pública / Propio,260,"11,64","11,78",88 %,240,"12,62 €" 
"Universidad Pompeu Fabra","Facultad de Ciencias de la Salud y de la Vida","Grado en Biología Humana",Pública / Propio,65,"11,624","12,08",92 %,240,"39,53 €" 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud",Grado en Odontología,Pública / Propio,120,"11,62","11,69",95 %,300,"39,53 €" 
"Universidad de Barcelona","Facultad de Matemáticas e Informática",Grado en Matemáticas,Pública / Propio,80,"11,604","12,27",75 %,240,"35,77 €" 
"Universidad Autónoma de Barcelona",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,115,"11,604","11,93",91 %,300,"39,53 €" 
"Universidad de Santiago de Compostela","Facultad de Medicina y Odontología",Grado en Odontología,Pública / Propio,50,"11,6","11,9",91 %,300,"13,93 €" 
"Universidad de Barcelona",Facultad de Física,Grado en Física,Pública / Propio,180,"11,596","12,36",84 %,240,"35,77 €" 
"Universidad de Granada",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,100,"11,583","12,37",68 %,240,"12,62 €" 
Universidad de Murcia,Facultad de Medicina,Grado en Odontología,Pública / Propio,40,"11,52","12,12",89 %,300,"16,78 €" 
Universidad de Oviedo,"Facultad de Medicina y Ciencias de la Salud",Grado en Odontología,Pública / Propio,25,"11,52",n/d,96 %,300,"15,70 €" 
"Universidad de Zaragoza",Facultad de Ciencias,Grado en Física,Pública / Propio,82,"11,486","12,48",80 %,240,"21,66 €" 
"Universidad de Granada","Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,200,"11,48","11,92",92 %,240,"12,62 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Data Science and Engineering/ Ciencia e Ingeniería de Datos",Pública / Propio,45,"11,477","12,03",75 %,240,"24,55 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología",Grado en Matemáticas,Pública / Propio,80,"11,472","12,41",80 %,240,"14,39 €" 
"Universidad Autónoma de Madrid","Facultad de Ciencias Económicas y Empresariales","Grado en Economía y Finanzas",Pública / Propio,60,"11,443","11,92",90 %,240,"21,39 €" 
Universidad de Sevilla,Facultad de Física,Grado en Física,Pública / Propio,90,"11,435","12,26",62 %,240,"12,62 €" 
"Universidad de Santiago de Compostela","Facultad de Matemáticas",Grado en Matemáticas,Pública / Propio,110,"11,424","12,29",71 %,240,"13,93 €" 
"Universidad Autónoma de Madrid",Facultad de Medicina,Grado en Enfermería,Pública / Propio,180,"11,421","11,91",96 %,240,"26,14 €" 
"Universitat de València (Estudi General)",Facultad de Economía,"Grado en Inteligencia y Analítica de Negocios / BIA",Pública / Propio,50,"11,42","11,66",,240,"14,96 €" 
Universidad de Oviedo,"Facultad de Medicina y Ciencias de la Salud",Grado en Enfermería,Pública / Propio,104,"11,42",n/d,88 %,240,"15,70 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería","Grado en FISIOTERAPIA",Pública / Propio,60,"11,42","11,52",92 %,240,"19,84 €" 
"Universitat Politècnica de València","Facultad de Bellas Artes San Carlos","Grado en Diseño y Tecnologías Creativas",Pública / Propio,100,"11,4","11,9",98 %,240,"16,41 €" 
Universidad de Alcalá,"Facultad de Medicina y Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,65,"11,386","11,64",90 %,240,"26,14 €" 
"Universidad de Santiago de Compostela",Facultad de Física,Grado en Física,Pública / Propio,90,"11,384","12,03",73 %,240,"13,93 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,370,"11,382","12,17",70 %,240,"24,55 €" 
"Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud",Grado en Enfermería,Pública / Propio,390,"11,382","10,9",96 %,240,"39,53 €" 
"Universidad Carlos III de Madrid","Facultad de Humanidades, Comunicación y Documentación","Grado en Comunicación Audiovisual/Bachelor",Pública / Propio,130,"11,375","12,15",95 %,240,"21,39 €" 
"",,"in Film, Television and Media Studies",,,,,,, 
"Universidad Pablo de Olavide","Facultad de Ciencias Empresariales","Grado en Administración y Dirección de Empresas",Pública / Propio,120,"11,362",n/d,75 %,240,"12,62 €" 
"Universidad de Granada",Facultad de Ciencias,Grado en Física,Pública / Propio,130,"11,361","12,5",71 %,240,"12,62 €" 
Universidad de Sevilla,"Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Electrónica, Robótica y Mecatrónica",Pública / Propio,65,"11,36","12,25",65 %,240,"12,62 €" 
"Universidad Complutense de Madrid",Facultad de Bellas Artes,Grado en Diseño,Pública / Propio,90,"11,342","11,98",93 %,240,"21,39 €" 
Universidad de Málaga,"Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,165,"11,33","11,71",94 %,240,"12,62 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Economía/ Bachelor in Economics",Pública / Propio,165,"11,317","11,91",89 %,240,"21,39 €" 
Universidad de Oviedo,Facultad de Biología,Grado en Biotecnología,Pública / Propio,47,"11,316",n/d,87 %,240,"12,30 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Bioquímica,Pública / Propio,60,"11,308","11,82",94 %,240,"35,77 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería Aeroespacial en Vehículos Aeroespaciales",Pública / Propio,55,"11,307","11,56",64 %,240,"24,55 €" 
"Universidad Pompeu Fabra","Facultad de Comunicación","Grado en Comunicación Audiovisual",Pública / Propio,80,"11,292","11,78",96 %,240,"35,77 €" 
"Universidad Miguel Hernández de Elche","Facultad de Ciencias Experimentales",Grado en Biotecnología,Pública / Propio,75,"11,29","11,29",88 %,240,"20,27 €" 
"Universidad de Córdoba",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,150,"11,287","11,81",75 %,300,"12,62 €" 
Universidad de Cádiz,Facultad de Ciencias,Grado en Biotecnología,Pública / Propio,55,"11,27","11,99",92 %,240,"12,62 €" 
"Universidad Politécnica de Catalunya","Escuela de Ingeniería de Barcelona Este (EEBE)","Grado en Ingeniería Biomédica",Pública / Propio,50,"11,268","11,81",91 %,240,"39,53 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería",Grado en Enfermería,Pública / Propio,165,"11,262","11,7",96 %,240,"19,84 €" 
Universidad de Cádiz,"Facultad de Enfermería y Fisioterapia",Grado en Fisioterapia,Pública / Propio,60,"11,255","11,68",90 %,240,"12,62 €" 
"Universidad de Córdoba","Facultad de Medicina y Enfermería",Grado en Enfermería,Pública / Propio,126,"11,24","11,66",94 %,240,"12,62 €" 
"Universidad de La Laguna","Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,150,"11,231","11,46",95 %,240,"14,59 €" 
"Universidad Complutense de Madrid",Facultad de Derecho,Grado en Criminología,Pública / Propio,60,"11,223","11,64",94 %,240,"24,55 €" 
Universidad de Murcia,Facultad de Biología,Grado en Biotecnología,Pública / Propio,50,"11,222","12,1",88 %,240,"16,78 €" 
"Universidad Autónoma de Barcelona",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,70,"11,214","11,85",75 %,240,"35,77 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Políticas y Sociología","Grado en Relaciones Internacionales",Pública / Propio,80,"11,204","11,89",93 %,240,"21,39 €" 
Universidad de Alicante,"Escuela Politécnica Superior","Grado en Ingeniería Biomédica",Pública / Propio,60,"11,18",n/d,65 %,240,"20,27 €" 
"Universidad de Las Palmas de Gran Canaria","Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,150,"11,174","11,82",91 %,240,"14,59 €" 
Universidad de Oviedo,Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,37,"11,172",n/d,65 %,240,"12,30 €" 
"Universidad de Córdoba","Facultad de Medicina y Enfermería",Grado en Fisioterapia,Pública / Propio,45,"11,17","11,17",95 %,240,"12,62 €" 
